"","name","ranking","lon","lat","type","loctype","address","north","south","east","west","establishment","route","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","street_number","premise","subpremise","cafe","colloquial_area"
"67","The Johnston Collection",67,144.985067,-37.813817,"art_gallery","rooftop","152/154 hotham st, east melbourne vic 3002, australia",-37.8124680197085,-37.8151659802915,144.986415980291,144.983718019709,NA,"Hotham Street","East Melbourne","Melbourne City","Victoria","Australia","3002","154",NA,"152",NA,NA
"68","Polly Woodside - Melbourne's Tall Ship Story",68,144.953565,-37.824477,"establishment","rooftop","21 s wharf promenade, south wharf vic 3006, australia",-37.8231280197085,-37.8258259802915,144.954913980292,144.952216019708,NA,"South Wharf Promenade","South Wharf","Melbourne City","Victoria","Australia","3006","21",NA,NA,NA,NA
"69","David Johns Melbourne",69,144.9643958,-37.8133071,"clothing_store","rooftop","310 bourke st, melbourne vic 3000, australia",-37.8119581197085,-37.8146560802915,144.965744780291,144.963046819708,NA,"Bourke Street","Melbourne","Melbourne City","Victoria","Australia","3000","310",NA,NA,NA,NA
"70","Capital City Trail",70,144.9465776,-37.8194462,"route","geometric_center","capital city trail, docklands vic 3008, australia",-37.8148784,-37.8239829,144.9483755,144.9446607,NA,"Capital City Trail","Docklands","Melbourne City","Victoria","Australia","3008",NA,NA,NA,NA,NA
"71","Skyhigh Mount Dandenong",71,145.3528601,-37.8271562,"cafe","rooftop","skyhigh mount dandenong, 26 observatory rd, mount dandenong vic 3766, australia",-37.8258072197085,-37.8285051802915,145.354209080291,145.351511119709,NA,"Observatory Road","Mount Dandenong","Yarra Ranges Shire","Victoria","Australia","3766","26",NA,NA,"SkyHigh Mount Dandenong",NA
"72","Queens Park",72,144.9240144,-37.7620569,"establishment","geometric_center","queens park, moonee ponds vic 3039, australia",-37.7607079197085,-37.7634058802915,144.925363380291,144.922665419708,"Queens Park",NA,"Moonee Ponds","Moonee Valley City","Victoria","Australia","3039",NA,NA,NA,NA,NA
"73","Carlton Gardens",73,144.9714124,-37.8054312,"establishment","geometric_center","carlton gardens, 1-111 carlton st, carlton vic 3053, australia",-37.8040822197085,-37.8067801802915,144.972761380292,144.970063419709,"Carlton Gardens",NA,"Carlton",NA,"Victoria","Australia","3053",NA,NA,NA,NA,NA
"74","Treasury Gardens",74,144.9742255,-37.8147676,"establishment","rooftop","13 spring st, melbourne vic 3000, australia",-37.8134186197085,-37.8161165802915,144.975574480291,144.972876519709,NA,"Spring Street","Melbourne","Melbourne City","Victoria","Australia","3000","13",NA,NA,NA,NA
"75","Melburne Information Centre",75,144.967803,-37.817617,"establishment","geometric_center","federation square corner swanston &, flinders st, melbourne vic 3000, australia",-37.8162680197085,-37.8189659802915,144.969151980292,144.966454019708,NA,"Flinders Street","Melbourne",NA,"Victoria","Australia","3000",NA,NA,NA,NA,NA
"76","Victoria Police Musuem",76,144.9541639,-37.8225068,"establishment","rooftop","637 flinders st, docklands vic 3008, australia",-37.8211578197085,-37.8238557802915,144.955512880292,144.952814919708,NA,"Flinders Street","Docklands","Melbourne City","Victoria","Australia","3008","637",NA,NA,NA,NA
"77","ANZ Bank Museum",77,144.9618075,-37.8166372,"establishment","rooftop","380 collins st, melbourne vic 3000, australia",-37.8152882197085,-37.8179861802915,144.963156480292,144.960458519709,NA,"Collins Street","Melbourne","Melbourne City","Victoria","Australia","3000","380",NA,NA,NA,NA
"78","Shebrooke Forest",78,145.3702489,-37.8874823,"cafe","rooftop","70 monbulk rd, kallista vic 3791, australia",-37.8861333197085,-37.8888312802915,145.371597880291,145.368899919708,NA,"Monbulk Road","Kallista","Yarra Ranges Shire","Victoria","Australia","3791","70",NA,NA,NA,NA
"79","Myer Melbourne",79,144.964079,-37.813765,"bakery","rooftop","myer melbourne, 3/314-336 bourke st, melbourne vic 3000, australia",-37.8124160197085,-37.8151139802915,144.965427980292,144.962730019708,NA,"Bourke Street","Melbourne","Melbourne City","Victoria","Australia","3000","314-336","Myer Melbourne","3",NA,NA
"80","King's Domain Gardens",80,144.9734846,-37.8241558,"establishment","geometric_center","kings domain, melbourne vic 3004, australia",-37.8228068197085,-37.8255047802915,144.974833580291,144.972135619708,"Kings Domain",NA,"Melbourne","Melbourne City","Victoria","Australia","3004",NA,NA,NA,NA,NA
"81","Queen Victoria Gardens",81,144.9711657,-37.8225761,"establishment","geometric_center","queen victoria gardens, st kilda rd, melbourne vic 3004, australia",-37.8212271197085,-37.8239250802915,144.972514680292,144.969816719708,"Queen Victoria Gardens","Saint Kilda Road","Melbourne","Melbourne City","Victoria","Australia","3004",NA,NA,NA,NA,NA
"82","St Michael's Church",82,144.969712,-37.8142432,"church","rooftop","120 collins st, melbourne vic 3000, australia",-37.8128942197085,-37.8155921802915,144.971060980291,144.968363019709,NA,"Collins Street","Melbourne","Melbourne City","Victoria","Australia","3000","120",NA,NA,NA,NA
"83","Melbourne & Olympic parks",83,144.9630576,-37.8136276,"colloquial_area","approximate","melbourne vic, australia",-37.5112737,-38.4338593,145.5125288,144.5937418,NA,NA,NA,NA,"Victoria","Australia",NA,NA,NA,NA,NA,"Melbourne"
"84","Forum Melburne",84,144.9693851,-37.8165405,"establishment","geometric_center","flinders st & russel st, melbourne vic 3000, australia",-37.8151915197085,-37.8178894802915,144.970734080291,144.968036119709,NA,"Flinders Street","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"85","ACDC lane",85,144.9708964,-37.8155777,"route","geometric_center","acdc ln, melbourne vic 3000, australia",-37.8142413197085,-37.8169392802915,144.972245430292,144.969547469708,NA,"Acdc Lane","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"86","COMO",86,144.9964995,-37.8389144,"establishment","rooftop","630 chapel st, south yarra vic 3141, australia",-37.8375654197085,-37.8402633802915,144.997848480292,144.995150519708,NA,"Chapel Street","South Yarra","Stonnington City","Victoria","Australia","3141","630",NA,NA,NA,NA
"87","Harbour Town Melbourne",87,144.9380307,-37.8130022,"establishment","rooftop","440 docklands dr, docklands vic 3008, australia",-37.8116532197085,-37.8143511802915,144.939379680291,144.936681719709,NA,"Docklands Drive","Docklands","Melbourne City","Victoria","Australia","3008","440",NA,NA,NA,NA
"88","Half Moon Bay",88,145.0100701,-37.9668014,"establishment","approximate","half moon bay, victoria, australia",-37.9648867,-37.968752,145.0110564,145.0080532,"Half Moon Bay",NA,NA,NA,"Victoria","Australia",NA,NA,NA,NA,NA,NA
