stop_name,lat,lon,stop_type
Burdekin Ave/Colbury Rd (Bayswater North),-37.82878756,145.296481,bus
Grant Dr/Burdekin Ave (Bayswater North),-37.82773499,145.2972324,bus
Leighton Rd/Burdekin Ave (Bayswater North),-37.82563227,145.2976556,bus
Anderson Cl/Burdekin Ave (Bayswater North),-37.82466524,145.3005864,bus
Colchester Rd/Burdekin Ave (Bayswater North),-37.82647707,145.3031127,bus
Canterbury Rd/Colchester Rd (Bayswater North),-37.82379264,145.3038217,bus
Glendale Ave/Derby Dr (Epping),-37.64310067,145.0483079,bus
Garden St/Liverpool Rd (Kilsyth),-37.81696549,145.3166676,bus
Lade Ave/Liverpool Rd (Kilsyth),-37.81579185,145.3165239,bus
Kilsyth Sports Centre/Liverpool Rd (Kilsyth),-37.81243309,145.316089,bus
Orchard St/Liverpool Rd (Kilsyth),-37.81125011,145.3159227,bus
Luscombe Ct/Liverpool Rd (Kilsyth),-37.80985042,145.3157274,bus
Pleasant St/Liverpool Rd (Kilsyth),-37.80640108,145.3152605,bus
Mt. Dandenong Rd/Liverpool Rd (Kilsyth),-37.80311065,145.3145629,bus
Winchester Ave/Derby Dr (Epping),-37.6426542,145.0442055,bus
Belvedere Dr/Swansea Rd (Montrose),-37.80648579,145.3511753,bus
Greenhills Ave/Cambridge Rd (Montrose),-37.80354635,145.3465724,bus
Emery Lane/Cambridge Rd (Montrose),-37.80282742,145.3447938,bus
Montrose Brickworks Flora Reserve/Cambridge Rd (Montrose),-37.80155059,145.3405176,bus
Acacia Ave/Cambridge Rd (Kilsyth),-37.80122309,145.3371061,bus
Alpine Way/Cambridge Rd (Kilsyth),-37.80091029,145.3341033,bus
Chittenup Bend/Overton Lea Bvd (Sydenham),-37.70612279,144.7656943,bus
Hume Dr/Overton Lea Bvd (Sydenham),-37.70909565,144.768021,bus
Hume Dr/Copperfield Dr (Delahey),-37.71039305,144.7708633,bus
Nicholson St/Johnston St (Abbotsford),-37.80028293,144.9980781,bus
Northumberland Dr/Derby Dr (Epping),-37.64260985,145.042076,bus
Yellow Gum Rd/Copperfield Dr (Delahey),-37.71387234,144.7718593,bus
Copperfield College Senior Campus/Copperfield Dr (Delahey),-37.71860226,144.7708441,bus
Rex St/Taylors Rd (Delahey),-37.72686198,144.77636,bus
Longfellow Dr/Taylors Rd (Delahey),-37.72661222,144.7741097,bus
Scarborough Rd/McDonalds Rd (Epping),-37.64543964,145.0350314,bus
Rialto St/Main Rd West (St Albans),-37.74164593,144.7761446,bus
Kings Rd/Main Rd West (St Albans),-37.74212071,144.7802951,bus
Buchanan St/Main Rd West (St Albans),-37.74249035,144.7836545,bus
Cleveland St/Main Rd West (St Albans),-37.74284422,144.7871392,bus
Church St/High St (Epping),-37.64552951,145.0263814,bus
Carberry Dr/Gisborne-Melton Rd (Kurunjang),-37.67308981,144.5981559,bus
Riddle Dr/Centenary Ave (Melton),-37.67587984,144.5944493,bus
Raleighs Rd/Centenary Ave (Melton),-37.67522817,144.589017,bus
Kurunjang Dr/Centenary Ave (Melton),-37.67454085,144.5849351,bus
Melton Cemetery/O'Neills Rd (Melton),-37.67486942,144.5781107,bus
Cassia Rd/O'Neills Rd (Melton),-37.67830775,144.5774773,bus
Church St/O'Neills Rd (Melton),-37.68150099,144.5776342,bus
Alexandra St/Unitt St (Melton),-37.68197986,144.5803285,bus
Joyce St/High St (Melton),-37.6839206,144.5726004,bus
High St/Manningham Rd (Templestowe Lower),-37.77457524,145.1157247,bus
Prior Ct/Black Dog Dr (Brookfield),-37.69296045,144.5582778,bus
Emms St/Settlement Rd (Bundoora),-37.69700041,145.0514887,bus
Wedge St/High St (Epping),-37.65046773,145.0247432,bus
Green St/Settlement Rd (Thomastown),-37.69427296,145.038098,bus
Norris Bank Primary School/Settlement Rd (Thomastown),-37.69480568,145.0424957,bus
Brand Dr/Settlement Rd (Thomastown),-37.69391942,145.0347276,bus
Wood St/Settlement Rd (Thomastown),-37.69362854,145.0318774,bus
Dunstans Ct/Keon Pde (Thomastown),-37.69529935,145.0164996,bus
Keon Park Railway Station/Keon Pde (Thomastown),-37.69490725,145.013017,bus
High St/Mahoneys Rd (Thomastown),-37.69456986,145.0095782,bus
Edgars Rd/Mahoneys Rd (Thomastown),-37.69383767,145.0025209,bus
Lipton Dr/Mahoneys Rd (Thomastown),-37.69331701,144.9973294,bus
Thompsons Heights Shopping Centre/Thompsons Rd (Bulleen),-37.77521266,145.0915024,bus
Callander St/Mahoneys Rd (Thomastown),-37.69314263,144.9955535,bus
Clay Ct/Mahoneys Rd (Thomastown),-37.69278595,144.9920701,bus
Lawson Cres/Mahoneys Rd (Thomastown),-37.69217805,144.9860192,bus
Lockton Ave/Mahoneys Rd (Thomastown),-37.69179804,144.9822416,bus
Industrial Ave/Mahoneys Rd (Thomastown),-37.69154717,144.9796968,bus
Phillip St/Mahoneys Rd (Thomastown),-37.69114563,144.9757271,bus
Sydney Rd/Mahoneys Rd (Campbellfield),-37.68952242,144.9589421,bus
Cheviot Rd/Mahoneys Rd (Campbellfield),-37.68994294,144.9629337,bus
Darren Ct/Bernard St (Cheltenham),-37.9529432,145.059472,bus
Concord Cct/Oakwood Rd (Albanvale),-37.75089254,144.7685587,bus
High St/Mitchell St (Northcote),-37.77208666,144.998714,bus
Woodland Dr/Oakwood Rd (Albanvale),-37.74604304,144.7699187,bus
Evergreen Ave/Oakwood Rd (Albanvale),-37.7442098,144.7701894,bus
Leckie Dr/Evergreen Ave (Albanvale),-37.74376007,144.7683304,bus
Delamare Dr/Evergreen Ave (Albanvale),-37.74355193,144.7654315,bus
Wintersun Dr/Evergreen Ave (Albanvale),-37.74498015,144.7632891,bus
Stephen Calleja Reserve/157 Opie Rd (Albanvale),-37.74375365,144.7618167,bus
187 Opie Rd (Albanvale),-37.74183024,144.7630321,bus
630 Main Rd West (Albanvale),-37.74030079,144.765064,bus
Balnarring Dr/Main Rd West (Albanvale),-37.74047544,144.7666702,bus
High St/Bastings St (Northcote),-37.77385752,144.9984505,bus
Maplewood Rd/Gillespie Rd (Kings Park),-37.73361903,144.7753182,bus
Beverley St/Gillespie Rd (Kings Park),-37.73406595,144.7794237,bus
Kings Rd/Gillespie Rd (St Albans),-37.73425086,144.7815855,bus
Glenrosa Ct/Gillespie Rd (St Albans),-37.73461976,144.785387,bus
Atheldene Dr/Gillespie Rd (St Albans),-37.73492939,144.7889181,bus
Andrew Rd/Jamieson St (St Albans),-37.73611719,144.788826,bus
John St/Jamieson St (St Albans),-37.73894055,144.7870512,bus
Andrew St/Bastings St (Northcote),-37.7744256,145.003249,bus
Parnell St/Bernard St (Cheltenham),-37.95339543,145.0628517,bus
Regent Pde/Bernard St (Cheltenham),-37.95368042,145.0648359,bus
Cheltenham Secondary College/Bernard St (Cheltenham),-37.95402239,145.067547,bus
Willen St/Bernard St (Cheltenham),-37.95453925,145.0715852,bus
Kingston Centre/Bernard St (Cheltenham),-37.95475456,145.0759272,bus
Warrigal Rd/Kingston Rd (Heatherton),-37.9534012,145.0780339,bus
Sharp St/Bastings St (Northcote),-37.7748313,145.0064512,bus
Kingston Centre/Kingston Rd (Heatherton),-37.95366634,145.0804739,bus
St Andrews Dr/Kingston Rd (Heatherton),-37.953993,145.0828213,bus
Kingston Heath Golf Club/Kingston Rd (Heatherton),-37.95433869,145.0863405,bus
Near Willis St/Kingston Rd (Heatherton),-37.95482827,145.0904023,bus
Pietro Rd/Kingston Rd (Heatherton),-37.95532671,145.094464,bus
Old Dandenong Rd/Kingston Rd (Heatherton),-37.95597392,145.0993754,bus
Peace Rd/Kingston Rd (Clarinda),-37.95691436,145.107398,bus
Heatherton Christian College/Kingston Rd (Clarinda),-37.95741167,145.1114258,bus
Eucalypt Ave/Williamsons Rd (Templestowe Lower),-37.77097885,145.1286904,bus
Northcote St/Bastings St (Northcote),-37.7749931,145.0080249,bus
Victory Road Landfill/Clayton Rd (Clayton South),-37.95324117,145.1143551,bus
Unitt St/O'Neills Rd (Melton),-37.68191942,144.5778247,bus
Alexandra St/Unitt St (Melton),-37.68214694,144.5796881,bus
Joyce St/High St (Melton),-37.68403627,144.5725286,bus
Johnson Park/Bastings St (Northcote),-37.77530745,145.0106278,bus
High St/Trethowan Ave (Melton West),-37.68484374,144.5544848,bus
Helen Ct/Trethowan Ave (Melton West),-37.68439424,144.5510639,bus
Bulmans Rd/Westlake Dr (Melton West),-37.68295982,144.5492515,bus
Russell St/Bastings St (Northcote),-37.77565718,145.0137294,bus
Warrigal Rd/Waverley Rd (Malvern East),-37.8805105,145.0922211,bus
Margot St/Waverley Rd (Chadstone),-37.88093818,145.0958144,bus
Amaroo St/Waverley Rd (Chadstone),-37.88125988,145.0984326,bus
Baradine St/Waverley Rd (Chadstone),-37.88159622,145.1014029,bus
Nyrang St/Huntingdale Rd (Chadstone),-37.88133384,145.1091753,bus
Melinga Cres/Huntingdale Rd (Chadstone),-37.87814434,145.1097799,bus
Burton St/Huntingdale Rd (Chadstone),-37.87634709,145.1100987,bus
Jordanville Railway Station/Huntingdale Rd (Ashwood),-37.87251891,145.1107763,bus
Grandview Gr/Bastings St (Northcote),-37.77579494,145.0149519,bus
Electra Ave/Huntingdale Rd (Ashwood),-37.87059608,145.1111324,bus
High Street Rd/Huntingdale Rd (Ashwood),-37.86745142,145.1117243,bus
